Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
7;Monaco GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:50:20.006;6.651;78;6
5;Singapur GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:58:42.973;49.394;61;10
13;Spanien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:36:41.080;+ 1 Runde;65;0
5;Türkei GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:29:19.886;32.266;58;10
1;Abu Dhabi GP;5;S. Vettel;Red Bull Racing / Renault;B;1:39:36.837;;55;25
4;Bahrain GP;5;S. Vettel;Red Bull Racing / Renault;B;1:39:59.195;38.799;49;12
15;Belgien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:29:30.159;+ 1 Runde;43;0
1;Brasilien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:33:11.803;;71;25
6;China GP;5;S. Vettel;Red Bull Racing / Renault;B;1:47:15.473;33.310;56;8
3;Deutschand GP;5;S. Vettel;Red Bull Racing / Renault;B;1:27:43.985;5.121;67;15
1;Europa GP;5;S. Vettel;Red Bull Racing / Renault;B;1:40:29.571;;57;25
7;Großbritannien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:25:14.934;36.734;52;6
4;Italien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:16:52.768;28.196;53;12
1;Japan GP;5;S. Vettel;Red Bull Racing / Renault;B;1:30:27.323;;53;25
4;Kanada GP;5;S. Vettel;Red Bull Racing / Renault;B;1:34:31.273;37.817;70;12
1;Malaysia GP;5;S. Vettel;Red Bull Racing / Renault;B;1:33:48.412;;56;25
2;Monaco GP;5;S. Vettel;Red Bull Racing / Renault;B;1:50:13.803;+ 0.448;78;18
2;Singapur GP;5;S. Vettel;Red Bull Racing / Renault;B;1:57:53.872;+ 0.293;61;18
3;Spanien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:36:35.439;51.338;66;15
3;Ungarn GP;5;S. Vettel;Red Bull Racing / Renault;B;1:41:24.823;19.252;70;15
8;Abu Dhabi GP;6;M. Webber;Red Bull Racing / Renault;B;1:40:21.080;44.243;55;4
9;Australien GP;6;M. Webber;Red Bull Racing / Renault;B;1:34:43.850;+ 1:07.319;58;2
8;Bahrain GP;6;M. Webber;Red Bull Racing / Renault;B;1:40:06.756;46.360;49;4
2;Belgien GP;6;M. Webber;Red Bull Racing / Renault;B;1:29:05.839;1.571;44;18
2;Brasilien GP;6;M. Webber;Red Bull Racing / Renault;B;1:33:16.046;4.243;71;18
8;China GP;6;M. Webber;Red Bull Racing / Renault;B;1:47:34.335;52.172;56;4
6;Deutschand GP;6;M. Webber;Red Bull Racing / Renault;B;1:28:22.470;43.606;67;8
1;Großbritannien GP;6;M. Webber;Red Bull Racing / Renault;B;1:24:38.200;;52;25
6;Italien GP;6;M. Webber;Red Bull Racing / Renault;B;1:16:55.848;31.276;53;8
2;Japan GP;6;M. Webber;Red Bull Racing / Renault;B;1:30:28.228;+ 0.905;53;18
5;Kanada GP;6;M. Webber;Red Bull Racing / Renault;B;1:34:32.747;39.291;70;10
2;Malaysia GP;6;M. Webber;Red Bull Racing / Renault;B;1:33:53.261;4.849;56;18
1;Monaco GP;6;M. Webber;Red Bull Racing / Renault;B;1:50:13.355;;78;25
3;Singapur GP;6;M. Webber;Red Bull Racing / Renault;B;1:58:22.720;29.141;61;15
1;Spanien GP;6;M. Webber;Red Bull Racing / Renault;B;1:35:44.101;;66;25
3;Türkei GP;6;M. Webber;Red Bull Racing / Renault;B;1:29:11.905;24.285;58;15
1;Ungarn GP;6;M. Webber;Red Bull Racing / Renault;B;1:41:05.571;;70;25
10;Abu Dhabi GP;7;F. Massa;Ferrari / Ferrari;B;1:40:27.705;50.868;55;1
3;Australien GP;7;F. Massa;Ferrari / Ferrari;B;1:33:51.019;14.488;58;15
2;Bahrain GP;7;F. Massa;Ferrari / Ferrari;B;1:39:36.495;16.099;49;18
4;Belgien GP;7;F. Massa;Ferrari / Ferrari;B;1:29:12.532;8.264;44;12
15;Brasilien GP;7;F. Massa;Ferrari / Ferrari;B;1:33:59.032;+ 1 Runde;70;0
9;China GP;7;F. Massa;Ferrari / Ferrari;B;1:47:39.959;57.796;56;2
2;Deutschand GP;7;F. Massa;Ferrari / Ferrari;B;1:27:43.060;4.196;67;18
11;Europa GP;7;F. Massa;Ferrari / Ferrari;B;1:41:16.192;46.621;57;0
15;Großbritannien GP;7;F. Massa;Ferrari / Ferrari;B;1:25:45.689;+ 1:07.489;52;0
3;Italien GP;7;F. Massa;Ferrari / Ferrari;B;1:16:28.795;4.223;53;15
15;Kanada GP;7;F. Massa;Ferrari / Ferrari;B;1:35:15.971;+ 1 Runde;69;0
3;Korea GP;7;F. Massa;Ferrari / Ferrari;B;2:48:51.678;30.868;55;15
7;Malaysia GP;7;F. Massa;Ferrari / Ferrari;B;1:34:15.480;27.068;56;6
4;Monaco GP;7;F. Massa;Ferrari / Ferrari;B;1:50:16.021;2.666;78;12
8;Singapur GP;7;F. Massa;Ferrari / Ferrari;B;1:59:46.876;+ 1:53.297;61;4
6;Spanien GP;7;F. Massa;Ferrari / Ferrari;B;1:36:49.868;+ 1:05.767;66;8
7;Türkei GP;7;F. Massa;Ferrari / Ferrari;B;1:29:24.255;36.635;58;6
4;Ungarn GP;7;F. Massa;Ferrari / Ferrari;B;1:41:33.045;27.474;70;12
7;Abu Dhabi GP;8;F. Alonso;Ferrari / Ferrari;B;1:40:20.634;43.797;55;6
4;Australien GP;8;F. Alonso;Ferrari / Ferrari;B;1:33:52.835;16.304;58;12
1;Bahrain GP;8;F. Alonso;Ferrari / Ferrari;B;1:39:20.396;;49;25
3;Brasilien GP;8;F. Alonso;Ferrari / Ferrari;B;1:33:18.610;6.807;71;15
4;China GP;8;F. Alonso;Ferrari / Ferrari;B;1:46:54.032;11.869;56;12
1;Deutschand GP;8;F. Alonso;Ferrari / Ferrari;B;1:27:38.864;;67;25
8;Europa GP;8;F. Alonso;Ferrari / Ferrari;B;1:41:02.380;32.809;57;4
14;Großbritannien GP;8;F. Alonso;Ferrari / Ferrari;B;1:25:40.585;+ 1:02.385;52;0
1;Italien GP;8;F. Alonso;Ferrari / Ferrari;B;1:16:24.572;;53;25
3;Japan GP;8;F. Alonso;Ferrari / Ferrari;B;1:30:30.044;2.721;53;15
3;Kanada GP;8;F. Alonso;Ferrari / Ferrari;B;1:34:02.670;9.214;70;15
1;Korea GP;8;F. Alonso;Ferrari / Ferrari;B;2:48:20.810;;55;25
13;Malaysia GP;8;F. Alonso;Ferrari / Ferrari;B;1:31:05.241;+ 2 Runden;54;0
6;Monaco GP;8;F. Alonso;Ferrari / Ferrari;B;1:50:19.696;6.341;78;8
1;Singapur GP;8;F. Alonso;Ferrari / Ferrari;B;1:57:53.579;;61;25
2;Spanien GP;8;F. Alonso;Ferrari / Ferrari;B;1:36:08.166;24.065;66;18
8;Türkei GP;8;F. Alonso;Ferrari / Ferrari;B;1:29:34.164;46.544;58;4
2;Ungarn GP;8;F. Alonso;Ferrari / Ferrari;B;1:41:23.392;17.821;70;18
12;Abu Dhabi GP;9;R. Barrichello;Williams / Cosworth;B;1:40:34.523;57.686;55;0
8;Australien GP;9;R. Barrichello;Williams / Cosworth;B;1:34:37.067;+ 1:00.536;58;4
10;Bahrain GP;9;R. Barrichello;Williams / Cosworth;B;1:40:22.885;+ 1:02.489;49;1
14;Brasilien GP;9;R. Barrichello;Williams / Cosworth;B;1:33:58.320;+ 1 Runde;70;0
12;China GP;9;R. Barrichello;Williams / Cosworth;B;1:47:45.828;+ 1:03.665;56;0
