Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
13;Australien GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:34:49.139;+ 2 Runden;56;0
15;Bahrain GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:39:39.094;+ 2 Runden;47;0
16;Belgien GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:29:44.538;+ 1 Runde;43;0
18;Brasilien GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:34:17.620;+ 2 Runden;69;0
14;China GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:47:52.460;+ 1 Runde;55;0
17;Großbritannien GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:26:13.616;+ 1 Runde;51;0
18;Italien GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:16:51.146;+ 2 Runden;51;0
12;Japan GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:32:07.726;+ 1 Runde;52;0
16;Kanada GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:35:04.808;+ 2 Runden;68;0
13;Korea GP;19;H. Kovalainen;Team Lotus / Cosworth;B;2:49:27.567;+ 1 Runde;54;0
16;Singapur GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:55:07.506;Ausfall;58;0
14;Ungarn GP;19;H. Kovalainen;Team Lotus / Cosworth;B;1:41:07.636;+ 3 Runden;67;0
20;Abu Dhabi GP;20;C. Klien;HRT F1 Team / Cosworth;B;1:40:11.300;+ 2 Runden;53;0
14;Australien GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:33:38.174;+ 5 Runden;53;0
20;Belgien GP;20;S. Yamamoto;HRT F1 Team / Cosworth;B;1:29:57.404;+ 2 Runden;42;0
22;Brasilien GP;20;C. Klien;HRT F1 Team / Cosworth;B;1:34:26.440;+ 6 Runden;65;0
17;China GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:47:39.011;+ 4 Runden;52;0
18;Europa GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:40:37.870;+ 2 Runden;55;0
19;Großbritannien GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:25:36.238;+ 2 Runden;50;0
19;Italien GP;20;S. Yamamoto;HRT F1 Team / Cosworth;B;1:17:46.321;+ 2 Runden;51;0
16;Japan GP;20;S. Yamamoto;HRT F1 Team / Cosworth;B;1:31:10.190;+ 3 Runden;50;0
18;Kanada GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:34:04.900;+ 4 Runden;66;0
15;Korea GP;20;S. Yamamoto;HRT F1 Team / Cosworth;B;2:48:47.837;+ 2 Runden;53;0
15;Malaysia GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:35:21.231;+ 3 Runden;53;0
14;Monaco GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:41:33.584;Ausfall;70;0
20;Türkei GP;20;K. Chandhok;HRT F1 Team / Cosworth;B;1:24:52.656;Ausfall;52;0
19;Ungarn GP;20;S. Yamamoto;HRT F1 Team / Cosworth;B;1:42.33.460;+ 4 Runden;66;0
19;Abu Dhabi GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:39:57.828;+ 2 Runden;53;0
21;Brasilien GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:34:25.912;+ 2 Runden;69;0
16;China GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:48:28.179;+ 2 Runden;54;0
19;Deutschand GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:28:10.760;+ 4 Runden;63;0
20;Europa GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:41:07.902;+ 2 Runden;55;0
20;Großbritannien GP;21;S. Yamamoto;HRT F1 Team / Cosworth;B;1:25:36.857;+ 2 Runden;50;0
15;Japan GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:32:02.330;+ 2 Runden;51;0
14;Korea GP;21;B. Senna;HRT F1 Team / Cosworth;B;2:48:30.504;+ 2 Runden;53;0
16;Malaysia GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:34:17.980;+ 4 Runden;52;0
17;Ungarn GP;21;B. Senna;HRT F1 Team / Cosworth;B;1:42:04.467;+ 3 Runden;67;0
11;Abu Dhabi GP;22;N. Heidfeld;BMW Sauber F1 Team / Ferrari;B;1:40:28.388;51.551;55;0
12;Australien GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:34:50.615;+ 1:14.084;58;0
11;Belgien GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:29:40.287;36.019;44;0
17;Brasilien GP;22;N. Heidfeld;BMW Sauber F1 Team / Ferrari;B;1:34:00.983;+ 1 Runde;70;0
14;Deutschand GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:28:22.985;+ 1 Runde;66;0
12;Europa GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:41:16.985;47.414;57;0
14;Italien GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:16:34.616;+ 1 Runde;52;0
8;Japan GP;22;N. Heidfeld;BMW Sauber F1 Team / Ferrari;B;1:31:36.971;+ 1:09.648;53;4
9;Korea GP;22;N. Heidfeld;BMW Sauber F1 Team / Ferrari;B;2:49:40.917;+ 1:20.107;55;2
11;Türkei GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:29:53.564;+ 1:05.944;58;0
7;Ungarn GP;22;P. de la Rosa;BMW Sauber F1 Team / Ferrari;B;1:41:06.407;+ 1 Runde;69;6
14;Abu Dhabi GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:40:36.395;59.558;55;0
8;Belgien GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:29:20.946;16.678;44;4
10;Brasilien GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:33:37.615;+ 1 Runde;70;1
11;Deutschand GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:27:56.373;+ 1 Runde;66;0
7;Europa GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:41:00.536;30.965;57;6
6;Großbritannien GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:25:10.371;32.171;52;8
7;Japan GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:31:31.361;+ 1:04.038;53;6
8;Korea GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;2:49:38.699;+ 1:17.889;55;4
12;Spanien GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:36:21.168;+ 1 Runde;65;0
10;Türkei GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:29:53.270;+ 1:05.650;58;1
9;Ungarn GP;23;K. Kobayashi;BMW Sauber F1 Team / Ferrari;B;1:41:08.856;+ 1 Runde;69;2
18;Belgien GP;24;T. Glock;Virgin Racing / Cosworth;B;1:29:52.280;+ 1 Runde;43;0
20;Brasilien GP;24;T. Glock;Virgin Racing / Cosworth;B;1:34:24.680;+ 2 Runden;69;0
18;Deutschand GP;24;T. Glock;Virgin Racing / Cosworth;B;1:28:22.856;+ 3 Runden;64;0
19;Europa GP;24;T. Glock;Virgin Racing / Cosworth;B;1:40:53.767;+ 2 Runden;55;0
18;Großbritannien GP;24;T. Glock;Virgin Racing / Cosworth;B;1:24:38.350;+ 2 Runden;50;0
17;Italien GP;24;T. Glock;Virgin Racing / Cosworth;B;1:16:48.751;+ 2 Runden;51;0
14;Japan GP;24;T. Glock;Virgin Racing / Cosworth;B;1:32:00.772;+ 2 Runden;51;0
18;Spanien GP;24;T. Glock;Virgin Racing / Cosworth;B;1:37:11.174;+ 3 Runden;63;0
18;Türkei GP;24;T. Glock;Virgin Racing / Cosworth;B;1:29:03.005;+ 3 Runden;55;0
16;Ungarn GP;24;T. Glock;Virgin Racing / Cosworth;B;1:41:35.185;+ 3 Runden;67;0
18;Abu Dhabi GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:39:54.475;+ 2 Runden;53;0
17;Belgien GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:29:46.318;+ 1 Runde;43;0
17;Europa GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:41:59.858;+ 1 Runde;56;0
20;Italien GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:16:22.383;+ 3 Runden;50;0
19;Kanada GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:33:59.377;+ 5 Runden;65;0
14;Malaysia GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:35:03.483;+ 3 Runden;53;0
15;Singapur GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:59:32.061;+ 2 Runden;59;0
19;Spanien GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:37:00.618;+ 4 Runden;62;0
19;Türkei GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:29:31.763;+ 3 Runden;55;0
18;Ungarn GP;25;L. Di Grassi;Virgin Racing / Cosworth;B;1:42:03.173;+ 4 Runden;66;0
