Place;DriverId;RaceId;Wheel;Time;Residue;Rounds;Points;StartNumber
4;8;2;B;1:33:52.835;16.304;58;12;8
1;8;1;B;1:39:20.396;;49;25;8
3;8;18;B;1:33:18.610;6.807;71;15;8
4;8;4;B;1:46:54.032;11.869;56;12;8
1;8;11;B;1:27:38.864;;67;25;8
8;8;9;B;1:41:02.380;32.809;57;4;8
14;8;10;B;1:25:40.585;+ 1:02.385;52;0;8
1;8;14;B;1:16:24.572;;53;25;8
3;8;16;B;1:30:30.044;2.721;53;15;8
3;8;8;B;1:34:02.670;9.214;70;15;8
1;8;17;B;2:48:20.810;;55;25;8
13;8;3;B;1:31:05.241;+ 2 Runden;54;0;8
6;8;6;B;1:50:19.696;6.341;78;8;8
1;8;15;B;1:57:53.579;;61;25;8
2;8;5;B;1:36:08.166;24.065;66;18;8
8;8;7;B;1:29:34.164;46.544;58;4;8
2;8;12;B;1:41:23.392;17.821;70;18;8
12;9;19;B;1:40:34.523;57.686;55;0;9
8;9;2;B;1:34:37.067;+ 1:00.536;58;4;9
10;9;1;B;1:40:22.885;+ 1:02.489;49;1;9
14;9;18;B;1:33:58.320;+ 1 Runde;70;0;9
12;9;4;B;1:47:45.828;+ 1:03.665;56;0;9
12;9;11;B;1:27:58.027;+ 1 Runde;66;0;9
4;9;9;B;1:40:55.198;25.627;57;12;9
5;9;10;B;1:25:09.656;31.456;52;10;9
10;9;14;B;1:17:28.785;+ 1:04.213;53;1;9
9;9;16;B;1:31:38.169;+ 1:10.846;53;2;9
14;9;8;B;1:34:48.538;+ 1 Runde;69;0;9
7;9;17;B;2:49:30.067;+ 1:09.257;55;6;9
12;9;3;B;1:34:30.307;+ 1 Runde;55;0;9
6;9;15;B;1:58:49.680;56.101;61;8;9
9;9;5;B;1:36:04.378;+ 1 Runde;65;2;9
14;9;7;B;1:28:59.057;+ 1 Runde;57;0;9
10;9;12;B;1:41:10.638;+ 1 Runde;69;1;9
16;10;19;B;1:40:41.600;+ 1:04.763;55;0;10
14;10;1;B;1:40:38.777;+ 1 Runde;48;0;10
14;10;13;B;1:29:25.271;+ 1 Runde;43;0;10
8;10;18;B;1:33:35.966;+ 1 Runde;70;4;10
15;10;4;B;1:48:01.537;+ 1 Runde;55;0;10
13;10;11;B;1:27:58.676;+ 1 Runde;66;0;10
10;10;10;B;1:25:20.212;42.012;52;1;10
7;10;14;B;1:16:57.384;32.812;53;6;10
13;10;8;B;1:34:47.422;+ 1 Runde;69;0;10
10;10;17;B;2:49:41.661;+ 1:20.851;55;1;10
10;10;3;B;1:35:01.811;+ 1:13.399;56;1;10
10;10;15;B;1:59:46.370;+ 1:52.791;61;1;10
16;10;5;B;1:35:44.518;+ 2 Runden;64;0;10
17;10;7;B;1:29:54.170;+ 1 Runde;57;0;10
6;10;12;B;1:42:22.294;+ 1:16.723;70;8;10
5;11;19;B;1:40:15.863;39.026;55;10;11
2;11;2;B;1:33:48.565;12.034;58;18;11
11;11;1;B;1:40:29.489;+ 1:09.093;49;0;11
3;11;13;B;1:29:07.761;3.493;44;15;11
9;11;18;B;1:33:37.144;+ 1 Runde;70;2;11
5;11;4;B;1:47:04.376;22.213;56;10;11
7;11;11;B;1:27:40.899;+ 1 Runde;66;6;11
5;11;9;B;1:40:56.693;27.122;57;10;11
8;11;14;B;1:16:58.600;34.028;53;4;11
7;11;8;B;1:34:50.756;57.300;70;6;11
5;11;17;B;2:49:08.544;47.734;55;10;11
4;11;3;B;1:34:07.001;18.589;56;12;11
3;11;6;B;1:50:15.030;1.675;78;15;11
7;11;15;B;1:59:20.138;+ 1:26.559;61;6;11
8;11;5;B;1:36:57.778;+ 1:13.677;66;4;11
6;11;12;B;1:29:20.444;32.824;58;8;11
6;12;19;B;1:40:20.357;43.520;55;8;12
9;12;13;B;1:29:28.119;23.851;44;2;12
16;12;18;B;1:33:59.733;+ 1 Runde;70;0;12
7;12;4;B;1:47:29.763;47.600;56;6;12
10;12;11;B;1:27:55.114;+ 1 Runde;66;1;12
14;12;9;B;1:41:17.858;48.287;57;0;12
13;12;10;B;1:25:37.574;59.374;52;0;12
13;12;14;B;1:17:43.491;+ 1:18.919;53;0;12
17;12;8;B;1:35:05.361;+ 2 Runden;68;0;12
13;12;6;B;1:43:48.498;Ausfall;73;0;12
11;12;15;B;1:57:57.619;+ 1 Runde;60;0;12
11;12;5;B;1:36:20.307;+ 1 Runde;65;0;12
15;12;7;B;1:29:25.954;+ 1 Runde;57;0;12
5;12;12;B;1:42:18.763;+ 1:13.192;70;10;12
13;14;19;B;1:40:35.162;58.325;55;0;14
12;14;1;B;1:40:43.354;+ 1:22.958;49;0;14
5;14;13;B;1:29:13.362;9.094;44;10;14
12;14;18;B;1:33:45.492;+ 1 Runde;70;0;14
11;14;4;B;1:47:45.037;+ 1:02.874;56;0;14
17;14;11;B;1:28:02.328;+ 2 Runden;65;0;14
6;14;9;B;1:40:59.739;30.168;57;8;14
8;14;10;B;1:25:19.132;40.932;52;4;14
16;14;14;B;1:16:41.994;+ 1 Runde;52;0;14
10;14;8;B;1:34:43.991;+ 1 Runde;69;1;14
5;14;3;B;1:34:09.471;21.059;56;10;14
8;14;6;B;1:50:20.325;6.970;78;4;14
9;14;15;B;2:00:05.995;+ 2:12.416;61;2;14
7;14;5;B;1:36:57.042;+ 1:12.941;66;6;14
9;14;12;B;1:29:36.649;49.029;58;2;14
7;15;2;B;1:34:36.378;59.847;58;6;15
9;15;1;B;1:40.13.404;53.008;49;2;15
10;15;13;B;1:29:39.099;34.831;44;1;15
16;15;11;B;1:27:52.031;+ 2 Runden;65;0;15
16;15;9;B;1:41:20.461;50.890;57;0;15
11;15;10;B;1:25:20.659;42.459;52;0;15
12;15;14;B;1:17:30.678;+ 1:06.106;53;0;15
9;15;8;B;1:34:42.634;+ 1 Runde;69;2;15
